Palette at 400000_400010:
Idx | R | G | B
02  | 197 | 132 |  82
03  | 247 | 197 | 148
04  |  82 |  82 |   0
05  | 181 | 148 |   0
06  | 247 | 230 |   0
07  |  82 |  82 |  82
08  | 165 | 165 | 165
09  | 247 | 247 | 247
10  |  49 |  49 |  82
11  |  99 |  99 | 148
12  | 148 | 148 | 214
13  |   0 | 132 |  82
14  |   0 | 247 | 197
15  |  16 |  16 |  16

Palette at 400720_400730:
Idx | R | G | B
00  |   0 |  49 | 148
01  | 115 |  66 |  16
02  | 197 | 132 |  82
03  | 247 | 197 | 148
04  |   0 |  33 | 148
05  |   0 |  99 | 247
06  |   0 | 214 | 247
07  |  99 |   0 |   0
08  | 181 |  82 |   0
09  | 247 | 148 |   0
10  |  66 |  33 |  66
11  | 132 |  66 |  99
12  | 214 | 165 | 181
13  | 148 | 132 |   0
14  | 230 | 214 |   0
15  |  16 |  16 |  16

Palette at 400740_400750:
Idx | R | G | B
00  |   0 |  49 | 165
01  | 148 |  33 |  16
02  | 214 | 132 |  82
03  | 247 | 197 | 148
04  |   0 |  82 |  16
05  |  16 | 132 |  16
06  |  66 | 181 |  82
07  | 148 |  82 |   0
08  | 230 | 148 |   0
09  | 247 | 214 |   0
10  | 115 | 115 | 115
11  | 165 | 165 | 165
12  | 214 | 214 | 214
13  |  66 |  16 |   0
14  |  99 |  66 |  33
15  |   0 |   0 |   0

Palette at 400760_400770:
Idx | R | G | B
00  |   0 |  49 | 181
01  | 148 |  33 |  16
02  | 214 | 132 |  82
03  | 247 | 197 | 148
04  | 148 |   0 |   0
05  | 214 |   0 |   0
06  | 247 |  66 |   0
07  |  82 |  49 |   0
08  | 115 |  99 |  16
09  | 181 | 148 |  82
10  | 115 | 115 | 115
11  | 165 | 165 | 165
12  | 214 | 214 | 214
13  |  66 |  16 |   0
14  |  99 |  66 |  33
15  |   0 |   0 |   0

Palette at 400780_400790:
Idx | R | G | B
00  |   0 |  49 | 197
01  | 148 |  33 |  16
02  | 214 | 132 |  82
03  | 247 | 197 | 148
04  |  16 |  33 | 115
05  |  66 |  82 | 165
06  | 115 | 132 | 214
07  |  99 |  49 |   0
08  | 148 |  99 |  16
09  | 197 | 148 |  82
10  | 115 | 115 | 115
11  | 165 | 165 | 165
12  | 214 | 214 | 214
13  |  66 |  16 |   0
14  |  99 |  66 |  33
15  |   0 |   0 |   0

Palette at 4007A0_4007B0:
Idx | R | G | B
00  |   0 |  49 | 214
01  |  49 |  82 |  82
02  |  99 | 115 | 115
03  | 148 | 181 | 148
04  | 115 |  49 |  66
05  | 214 |  66 |  66
06  | 115 | 115 |  82
07  | 181 | 165 |  82
08  | 230 | 197 |  66
09  | 247 | 247 |  99
10  |  66 |  49 | 132
11  | 132 | 148 | 165
12  | 165 | 181 | 181
13  | 197 | 214 | 230
14  |  82 |  66 | 197
15  |  49 |  49 |  49

Palette at 4007C0_4007D0:
Idx | R | G | B
00  |   0 |  49 | 230
01  |  49 |  82 |  82
02  |  99 | 115 | 115
03  | 148 | 181 | 148
04  | 197 | 230 | 148
05  | 214 | 247 | 132
06  | 115 | 115 |  82
07  | 181 | 165 |  82
08  | 230 | 197 |  66
09  | 247 | 247 |  99
10  | 247 | 247 | 181
11  | 132 | 148 | 165
12  | 165 | 181 | 181
13  | 197 | 214 | 230
14  | 230 | 247 | 247
15  |  49 |  49 |  49

Palette at 4007E0_4007F0:
Idx | R | G | B
00  |   0 |  49 | 247
01  | 132 | 197 |   0
02  | 197 | 214 |   0
03  | 247 | 247 |  16
04  | 247 | 247 | 247
05  |  82 |  82 |  82
06  | 132 | 132 | 132
07  | 197 | 197 | 197
08  |  49 |  49 |  49
09  | 247 | 115 |   0
10  | 247 | 197 |   0
11  | 247 | 247 | 247
12  |   0 | 165 | 247
13  |   0 | 247 | 247
14  | 197 | 247 | 247
15  |   0 |   0 |   0

Palette at 400800_400810:
Idx | R | G | B
00  |   0 |  66 |   0
01  | 165 | 230 |   0
02  | 214 | 247 |   0
03  | 247 | 247 |   0
04  | 247 | 247 | 132
05  | 247 | 247 | 214
06  | 247 |   0 |   0
07  | 247 |  82 |   0
08  | 247 | 132 |   0
09  | 247 | 165 |   0
10  | 247 | 214 |   0
11  | 247 | 247 |  66
12  | 247 | 247 | 247
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 400820_400830:
Idx | R | G | B
00  |   0 |  66 |  16
01  |  33 |   0 | 115
02  |  82 |   0 | 115
03  | 115 |  16 | 115
04  | 148 |  33 | 132
05  | 181 |  49 |  99
06  | 214 |  33 |  82
07  | 214 |  66 | 115
08  | 214 |  82 | 132
09  |  49 |   0 | 132
10  |  82 |   0 | 132
11  | 132 |  16 | 148
12  |   0 |   0 |   0
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |  16 |   0 | 115

Palette at 400840_400850:
Idx | R | G | B
00  |   0 |  66 |  33
01  | 214 |  33 |  82
02  | 214 |  82 | 115
03  | 132 |  49 | 132
04  | 148 |  66 | 148
05  | 165 |  82 | 148
06  | 181 |  99 | 165
07  | 214 |  99 | 165
08  | 230 | 115 | 181
09  | 247 | 148 | 181
10  | 247 | 181 | 197
11  | 247 | 197 | 214
12  |  66 |  16 |  33
13  | 115 |  16 |  16
14  | 148 |  16 |  16
15  | 197 |  16 |  16

Palette at 400860_400870:
Idx | R | G | B
00  |   0 |  66 |  49
01  | 247 | 214 | 247
02  | 247 | 247 | 247
03  | 115 |  16 | 115
04  | 148 |  33 | 132
05  | 181 |  49 |  99
06  | 214 |  33 |  82
07  | 214 |  82 | 115
08  | 132 |  16 | 115
09  |  66 |  16 |  33
10  | 115 |  16 |  16
11  | 148 |  16 |  16
12  | 197 |  33 |  33
13  | 230 |  82 |  49
14  | 247 | 115 | 148
15  | 247 | 165 | 197

Palette at 400880_400890:
Idx | R | G | B
00  |   0 |  66 |  66
01  |  49 |  66 |  99
02  |  82 |  99 | 115
03  | 115 | 132 | 148
04  | 148 | 165 | 181
05  | 115 | 165 | 247
06  | 132 | 181 | 247
07  | 197 | 197 | 181
08  | 230 | 230 | 230
09  | 132 | 132 |  66
10  | 165 | 148 |  82
11  |  66 |  66 |  49
12  |  82 |  82 |  82
13  |  99 | 115 |  99
14  | 115 | 148 | 115
15  |  33 |  33 |  66

Palette at 4008A0_4008B0:
Idx | R | G | B
00  |   0 |  66 |  82
01  |  33 |  66 |  33
02  |  66 |  99 |  66
03  | 132 | 132 |  99
04  | 181 | 181 | 148
05  | 214 | 214 | 197
06  | 230 | 230 | 230
07  |  82 |  66 |  33
08  | 132 | 115 |  49
09  | 181 | 148 |  82
10  | 247 | 247 | 247
11  | 132 |  66 |  49
12  | 181 |  99 |  66
13  | 115 | 148 |  99
14  | 148 | 197 | 132
15  |  16 |  16 |  16

Palette at 4008C0_4008D0:
Idx | R | G | B
00  |   0 |  66 |  99
01  |  49 |  66 |  99
02  | 247 | 132 |  99
03  |  82 | 115 | 247
04  |  82 | 115 | 247
05  |  99 | 132 | 247
06  | 115 | 165 | 247
07  | 181 | 181 | 181
08  | 230 | 214 | 214
09  | 115 | 132 | 148
10  | 148 | 165 | 181
11  |  82 |  16 |  99
12  | 132 |  33 | 115
13  | 181 |  49 |  99
14  | 230 |  99 |  49
15  |  33 |  33 |  66

Palette at 4008E0_4008F0:
Idx | R | G | B
00  |   0 |  66 | 115
01  |  33 |  49 |  16
02  |  66 |  82 |  49
03  |  99 | 115 |  82
04  | 132 | 148 | 115
05  | 165 | 181 | 148
06  | 214 | 230 | 181
07  | 247 | 247 | 230
08  |  49 |  33 |   0
09  |  82 |  49 |   0
10  |  99 |  82 |  16
11  | 132 | 115 |  33
12  | 181 | 148 |  66
13  | 230 | 181 |  82
14  | 247 | 230 | 132
15  |  16 |  16 |  16

Palette at 400900_400910:
Idx | R | G | B
00  |   0 |  66 | 132
01  |  16 |   0 |   0
02  |  33 |  16 |  16
03  |  49 |  33 |  33
04  |  66 |  33 |  49
05  |  82 |  49 |  66
06  |  82 |  82 |  82
07  |   0 |   0 |   0
08  |  49 |  33 |  33
09  |  82 |  49 |  33
10  | 115 |  82 |  49
11  | 148 | 132 |  66
12  | 181 | 165 |  99
13  | 230 | 197 | 132
14  | 247 | 230 | 181
15  |   0 |   0 |   0

Palette at 400920_400930:
Idx | R | G | B
00  |   0 |  66 | 148
01  | 115 |  33 |  16
02  | 197 |  82 |  49
03  | 247 | 148 |  82
04  |  82 |  82 |  82
05  | 148 | 148 | 148
06  | 247 | 247 | 247
07  |  99 |  16 |   0
08  | 181 |  33 |   0
09  | 247 |  82 |   0
10  |  49 |  49 |  99
11  |  99 |  99 | 148
12  | 181 | 181 | 230
13  | 230 | 230 | 247
14  | 247 | 230 | 132
15  |   0 |   0 |  49

Palette at 400940_400950:
Idx | R | G | B
00  |   0 |  66 | 165
01  |  99 |  99 |   0
02  | 165 | 165 |   0
03  | 247 | 247 |   0
04  |  16 |  82 | 115
05  |  33 | 148 | 214
06  |  66 | 247 | 247
07  |  99 |   0 |   0
08  | 165 |  16 |   0
09  | 247 |  33 |   0
10  |  16 |  16 |  82
11  |  49 |  66 | 132
12  |  82 | 132 | 181
13  | 148 | 181 | 197
14  | 247 | 247 | 247
15  |   0 |   0 |   0

Palette at 400960_400970:
Idx | R | G | B
00  |   0 |  66 | 181
01  | 115 |  33 |   0
02  | 181 |  99 |  33
03  | 247 | 214 | 132
04  |  66 |  66 |  49
05  | 132 | 132 | 115
06  | 181 | 181 | 165
07  |  33 |  49 |  33
08  |  82 |  99 |  82
09  | 148 | 181 | 148
10  |  33 |  33 |  49
11  |  66 |  66 |  99
12  | 115 | 115 | 165
13  | 181 | 181 | 197
14  | 247 | 247 | 247
15  |   0 |   0 |   0

Palette at 400980_400990:
Idx | R | G | B
00  |   0 |  66 | 197
01  | 181 |  82 |  33
02  | 247 | 165 |  82
03  | 247 | 230 | 181
04  |  99 |  82 |   0
05  | 181 | 165 |   0
06  | 247 | 247 |  49
07  | 115 |   0 |   0
08  | 197 |   0 |   0
09  | 247 |  82 |  16
10  |  16 |  66 |   0
11  |  33 | 115 |   0
12  |  99 | 197 |   0
13  | 115 |  82 | 181
14  | 230 | 181 | 247
15  |   0 |   0 |   0

Palette at 4009A0_4009B0:
Idx | R | G | B
00  |   0 |  66 | 214
01  | 132 |  66 |  16
02  | 165 |  99 |  33
03  | 197 | 132 |  66
04  |  49 |  66 |  66
05  |  33 | 132 | 132
06  | 148 | 197 | 197
07  | 132 |   0 |   0
08  | 197 |   0 |   0
09  | 247 |   0 |   0
10  |  82 |  33 |  16
11  | 148 | 148 | 148
12  | 247 | 247 | 247
13  | 230 | 165 |  99
14  | 247 | 230 | 165
15  |   0 |   0 |   0

Palette at 4009C0_4009D0:
Idx | R | G | B
00  |   0 |  66 | 230
01  | 132 |  49 |   0
02  | 197 | 115 |  49
03  | 247 | 197 | 132
04  |   0 |  82 |  82
05  |   0 | 165 | 165
06  |   0 | 247 | 247
07  | 115 | 115 |   0
08  | 197 | 197 |   0
09  |   0 | 214 |  99
10  | 115 | 115 | 115
11  | 165 | 165 | 165
12  | 247 | 247 | 247
13  | 165 |   0 |   0
14  | 247 |   0 |   0
15  |   0 |   0 |   0

Palette at 4009E0_4009F0:
Idx | R | G | B
00  |   0 |  66 | 247
01  | 148 |   0 | 148
02  | 197 |   0 | 197
03  | 247 |   0 | 247
04  | 247 | 132 | 247
05  | 247 | 247 | 247
06  |   0 |   0 |   0
07  | 247 | 165 | 247
08  | 247 | 247 | 247
09  |   0 |   0 |   0
10  | 115 | 115 | 115
11  | 165 | 165 | 165
12  | 247 | 247 | 247
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 400A00_400A10:
Idx | R | G | B
00  |   0 |  82 |   0
01  |  82 |  16 |  16
02  | 115 |  49 |  16
03  | 181 |  82 |  16
04  | 214 |  99 |  49
05  | 247 | 148 |  66
06  | 115 |   0 |  66
07  | 165 |   0 | 132
08  | 247 |  49 | 148
09  | 148 |  99 |  16
10  | 214 | 197 |  16
11  |  49 |  49 |  49
12  |  99 |  99 |  99
13  | 181 | 181 | 181
14  | 247 | 247 | 247
15  |  16 |  16 |  16

Palette at 400A20_400A30:
Idx | R | G | B
00  |   0 |  82 |  16
01  |  33 |  33 |  33
02  |  82 |  82 |  82
03  | 132 | 132 | 132
04  | 165 | 165 | 165
05  |  49 |   0 |   0
06  | 132 |   0 |   0
07  | 197 |   0 |   0
08  |   0 |   0 |   0
09  |   0 |   0 |   0
10  |   0 |   0 |   0
11  |   0 |   0 |   0
12  |  82 |  82 |   0
13  | 132 | 132 |   0
14  | 197 | 197 |   0
15  |   0 |   0 |   0

Palette at 400A40_400A50:
Idx | R | G | B
00  |   0 |  82 |  33
01  | 165 |  66 |   0
02  | 214 | 132 |  99
03  | 247 | 197 | 165
04  |  66 |   0 | 132
05  | 148 |  33 | 181
06  | 214 |  82 | 247
07  | 247 | 247 | 247
08  | 197 | 197 | 247
09  | 132 | 132 | 165
10  |  49 |  49 |  66
11  | 148 | 132 |   0
12  | 247 | 247 |   0
13  |  66 | 214 | 247
14  |   0 | 148 | 247
15  |   0 |   0 |   0

Palette at 400A60_400A70:
Idx | R | G | B
00  |   0 |  82 |  49
01  |  66 |  66 |  66
02  |  82 |  82 |  82
03  | 115 | 115 | 115
04  | 148 | 148 | 148
05  | 181 | 181 | 181
06  | 214 | 214 | 214
07  | 247 | 247 | 247
08  |   0 |   0 |   0
09  |   0 |   0 |   0
10  |   0 |   0 |   0
11  |   0 |   0 |   0
12  |   0 |   0 |   0
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 400A80_400A90:
Idx | R | G | B
00  |   0 |  82 |  66
01  | 165 |  66 |  33
02  | 247 | 148 | 115
03  | 247 | 197 | 165
04  | 214 | 165 |   0
05  | 230 | 230 |  49
06  | 115 |   0 | 148
07  | 181 |  33 | 214
08  | 230 |  99 | 247
09  | 247 | 165 | 247
10  |  33 |  49 | 132
11  |  49 |  99 | 181
12  |  82 | 165 | 230
13  | 148 | 214 | 247
14  | 214 | 230 | 247
15  |   0 |   0 |   0

Palette at 400AA0_400AB0:
Idx | R | G | B
00  |   0 |  82 |  82
01  |   0 |  33 | 165
02  |   0 |  66 | 247
03  |  16 |  99 | 247
04  |  66 |  49 |   0
05  | 148 | 132 |   0
06  | 214 | 214 |  33
07  | 115 |  49 |  16
08  | 165 |  82 |  49
09  | 214 | 132 |  66
10  |   0 |  16 |  99
11  | 247 | 181 | 115
12  | 247 | 247 | 197
13  |  66 | 132 | 230
14  | 115 | 197 | 247
15  |   0 |   0 |   0

Palette at 400AC0_400AD0:
Idx | R | G | B
00  |   0 |  82 |  99
01  | 115 |  66 |  16
02  | 197 | 132 |  82
03  | 247 | 197 | 148
04  |  82 |  82 |   0
05  | 181 | 148 |   0
06  | 247 | 230 |   0
07  |  82 |  66 |  66
08  | 165 | 148 | 148
09  | 247 | 247 | 247
10  |  99 |  49 |  16
11  | 148 |  82 |  49
12  | 197 | 148 |  99
13  | 148 | 148 |  99
14  | 247 | 247 | 197
15  |  16 |  16 |  16

Palette at 400AE0_400AF0:
Idx | R | G | B
00  |   0 |  82 | 115
01  | 148 |   0 |   0
02  | 165 |   0 |   0
03  | 197 |   0 |   0
04  | 247 |  33 |   0
05  | 247 |  66 |   0
06  | 247 | 115 |   0
07  | 247 | 148 |  49
08  | 247 | 197 |  82
09  | 247 | 230 | 132
10  |  33 |  33 |  33
11  |  66 |  66 |  66
12  | 132 | 132 | 132
13  | 181 | 181 | 181
14  | 247 | 247 | 247
15  |   0 |   0 |   0

Palette at 400B00_400B10:
Idx | R | G | B
00  |   0 |  82 | 132
01  |  82 |  49 |   0
02  | 115 |  82 |  16
03  | 165 | 132 |  33
04  | 197 | 181 |  49
05  | 247 | 230 |  99
06  | 165 |   0 |   0
07  | 132 |  82 |   0
08  | 197 | 148 |   0
09  | 247 | 197 |   0
10  |  99 |  99 |  99
11  | 165 | 165 | 165
12  | 247 | 247 | 247
13  | 247 |   0 |   0
14  | 247 |   0 |   0
15  |   0 |   0 |   0

Palette at 400B20_400B30:
Idx | R | G | B
00  |   0 |  82 | 148
01  | 132 |   0 |   0
02  | 197 |   0 |   0
03  | 247 |   0 |   0
04  | 247 |  82 |   0
05  | 247 | 132 |   0
06  | 247 | 197 |   0
07  | 247 | 247 | 247
08  |  82 |  49 |   0
09  | 115 |  82 |  16
10  | 165 | 132 |  33
11  | 197 | 181 |  49
12  | 247 | 230 |  99
13  | 132 | 132 | 132
14  | 181 | 181 | 181
15  |   0 |   0 |   0

Palette at 400B40_400B50:
Idx | R | G | B
00  |   0 |  82 | 165
01  |   0 |   0 | 115
02  |   0 |  16 | 197
03  |   0 |  66 | 247
04  |   0 |  99 | 247
05  |  16 | 165 | 247
06  |  82 | 230 | 247
07  | 247 | 247 | 247
08  |  82 |  49 |   0
09  | 115 |  82 |  16
10  | 165 | 132 |  33
11  | 197 | 181 |  49
12  | 165 | 247 | 247
13  | 247 | 230 |  66
14  | 247 | 247 | 148
15  |   0 |   0 |   0

Palette at 400B60_400B70:
Idx | R | G | B
00  |   0 |  82 | 181
01  | 165 |  82 |  16
02  | 197 |  99 |  16
03  | 247 | 148 |   0
04  |  82 |  49 |  16
05  |   0 | 148 | 214
06  |   0 | 214 | 247
07  | 132 |  66 |   0
08  | 197 | 148 |   0
09  | 247 | 247 |   0
10  |  99 |  33 |  16
11  | 148 | 148 | 148
12  | 247 | 247 | 247
13  | 247 | 197 | 165
14  | 247 | 247 | 214
15  |   0 |   0 |   0

Palette at 400B80_400B90:
Idx | R | G | B
00  |   0 |  82 | 197
01  | 165 |  16 |   0
02  | 230 |  33 |   0
03  | 247 |  82 |   0
04  |  49 |  66 |  66
05  |  33 | 132 | 132
06  | 148 | 197 | 197
07  | 115 |  49 |  16
08  | 165 |  82 |  49
09  | 214 | 132 |  66
10  |  99 |  16 |   0
11  | 247 | 181 | 115
12  | 247 | 247 | 165
13  | 230 | 132 |   0
14  | 247 | 181 |   0
15  |   0 |   0 |   0

Palette at 400BA0_400BB0:
Idx | R | G | B
00  |   0 |  82 | 214
01  |  82 |  82 | 132
02  |  99 |  99 | 181
03  | 132 | 132 | 247
04  | 132 | 132 |   0
05  | 197 | 197 |   0
06  | 247 | 247 |  49
07  | 132 |   0 |   0
08  | 197 |   0 |   0
09  | 247 |   0 |   0
10  |   0 |  49 |   0
11  |   0 |  99 |   0
12  |   0 | 181 |   0
13  |  33 | 247 |  33
14  | 132 | 247 | 132
15  |   0 |   0 |   0

Palette at 400BC0_400BD0:
Idx | R | G | B
00  |   0 |  82 | 230
01  | 181 |  66 |   0
02  | 230 | 132 |  82
03  | 247 | 165 | 132
04  |   0 |   0 |   0
05  |  33 |  33 |  66
06  |  82 |  82 | 132
07  | 115 | 115 | 165
08  | 165 | 165 | 197
09  | 197 | 197 | 230
10  | 247 | 247 | 247
11  | 132 |  82 |   0
12  | 165 | 115 |   0
13  | 230 | 181 |  33
14  | 247 | 230 |  66
15  |   0 |   0 |   0

Palette at 400BE0_400BF0:
Idx | R | G | B
00  |   0 |  82 | 247
01  |  82 |  16 |   0
02  | 132 |  82 |  33
03  | 181 | 132 |  82
04  | 197 | 132 |   0
05  | 247 | 197 |   0
06  | 214 | 181 | 148
07  |   0 | 181 | 247
08  |   0 | 247 | 247
09  | 115 |   0 |   0
10  | 230 |   0 |   0
11  |  66 |  82 | 165
12  | 115 | 132 | 214
13  | 165 | 197 | 247
14  | 247 | 247 | 247
15  |   0 |   0 |   0

Palette at 400C00_400C10:
Idx | R | G | B
00  |   0 |  99 |   0
01  |  82 |  16 |  16
02  | 132 |  82 |  33
03  | 181 | 132 |  82
04  | 197 | 132 |   0
05  | 247 | 197 |   0
06  | 214 | 181 | 148
07  | 132 |  82 |   0
08  | 181 | 132 |   0
09  | 115 |   0 |   0
10  |   0 |   0 |   0
11  |  66 |  82 | 165
12  | 115 | 132 | 214
13  | 165 | 197 | 247
14  | 247 | 247 | 247
15  |   0 |   0 |   0

Palette at 400C20_400C30:
Idx | R | G | B
00  |   0 |  99 |  16
01  |   0 |   0 |   0
02  |   0 |   0 |   0
03  |   0 |   0 |   0
04  |   0 |   0 |   0
05  |  66 |  66 | 132
06  | 115 | 115 | 181
07  | 181 | 181 | 247
08  | 247 | 247 | 247
09  |   0 |   0 |   0
10  |  66 |  49 |   0
11  | 115 |  99 |   0
12  | 181 | 132 |  16
13  | 230 | 165 |  49
14  | 247 | 214 |  99
15  |   0 |   0 |   0

Palette at 400C40_400C50:
Idx | R | G | B
00  |   0 |  99 |  33
01  | 148 |  66 |   0
02  | 197 | 115 |   0
03  | 230 | 165 |   0
04  | 247 | 214 |   0
05  | 247 | 247 |  82
06  | 247 | 247 | 165
07  | 247 | 247 | 247
08  |   0 |   0 |   0
09  |   0 |   0 |   0
10  |   0 |   0 |   0
11  |   0 |   0 |   0
12  |   0 |   0 |   0
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 400C60_400C70:
Idx | R | G | B
00  |   0 |  99 |  49
01  |  49 |   0 |   0
02  |  99 |   0 |   0
03  | 148 |   0 |   0
04  | 214 |   0 |   0
05  | 247 |  66 |   0
06  | 247 | 115 |   0
07  | 247 | 181 |   0
08  | 247 | 230 |   0
09  | 247 | 247 |  99
10  | 247 | 247 | 197
11  |   0 |   0 |   0
12  |   0 |   0 |   0
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 400C80_400C90:
Idx | R | G | B
00  |   0 |  99 |  66
01  |  49 |  49 |   0
02  |  82 |  66 |   0
03  | 132 |  99 |   0
04  | 181 | 148 |   0
05  | 247 | 214 |   0
06  | 247 | 247 | 132
07  | 148 | 148 | 230
08  |  16 |  16 |  49
09  |  49 |  49 |  99
10  |  99 |  99 | 165
11  |  33 |  49 |  16
12  |  49 |  82 |  33
13  |  82 |  99 |  66
14  |  99 | 132 |  82
15  |   0 |   0 |   0

Palette at 400CA0_400CB0:
Idx | R | G | B
00  |   0 |  99 |  82
01  | 148 |  66 |  16
02  | 230 | 148 |  49
03  | 247 | 230 | 115
04  |  16 |  66 |   0
05  |  66 | 132 |   0
06  | 132 | 197 |   0
07  | 115 |  33 |   0
08  | 181 |  99 |   0
09  |   0 |  49 | 115
10  |  16 | 132 | 165
11  |  99 | 197 | 247
12  | 230 | 247 | 247
13  | 214 | 247 |  66
14  |   0 | 247 |  66
15  |   0 |   0 |   0

Palette at 400CC0_400CD0:
Idx | R | G | B
00  |   0 |  99 |  99
01  |  33 |  82 |  16
02  |  82 | 115 |  33
03  | 148 | 181 |  49
04  | 197 | 214 |  66
05  | 230 | 247 | 115
06  |  99 |  16 |   0
07  | 148 |  33 |   0
08  | 197 |  82 |   0
09  | 247 | 165 |   0
10  |  99 |  99 |  99
11  | 165 | 165 | 165
12  | 247 | 247 | 247
13  | 197 |  33 | 197
14  | 247 | 132 | 247
15  |   0 |   0 |   0

Palette at 400CE0_400CF0:
Idx | R | G | B
00  |   0 |  99 | 115
01  | 132 |  66 |   0
02  | 181 | 115 |   0
03  | 214 | 148 |   0
04  |  49 |  66 |  66
05  |  33 | 132 | 132
06  | 148 | 197 | 197
07  | 132 |   0 |   0
08  | 197 |   0 |   0
09  | 247 |   0 |   0
10  |  82 |  33 |   0
11  | 247 |  82 |  82
12  | 247 | 247 | 247
13  | 247 | 181 |  33
14  | 247 | 214 |  82
15  |   0 |   0 |   0

Palette at 400D00_400D10:
Idx | R | G | B
00  |   0 |  99 | 132
01  |   0 |   0 |  82
02  |   0 |  33 | 197
03  |   0 |  99 | 247
04  |  66 |  33 |  99
05  | 148 |  49 | 165
06  | 197 |  82 | 247
07  |  49 |  99 |   0
08  |  66 | 165 |   0
09  | 165 | 247 |   0
10  | 115 | 115 | 115
11  | 181 | 181 | 181
12  | 247 | 247 | 247
13  | 165 |  16 |   0
14  | 247 |  66 |   0
15  |   0 |   0 |   0

Palette at 400D20_400D30:
Idx | R | G | B
00  |   0 |  99 | 148
01  |  49 |  49 |   0
02  |  82 |  82 |  16
03  | 115 | 132 |  49
04  | 165 | 197 |  82
05  | 230 | 247 | 132
06  |  66 |   0 |   0
07  |  99 |  82 |  16
08  | 148 | 115 |   0
09  | 214 | 165 |  16
10  | 247 | 214 |  66
11  | 230 |   0 |   0
12  | 247 | 197 |   0
13  | 165 |   0 |   0
14  | 247 |  99 |   0
15  |   0 |   0 |   0

Palette at 400D40_400D50:
Idx | R | G | B
00  |   0 |  99 | 165
01  |  99 |   0 |  33
02  | 148 |  16 |  16
03  | 197 |  33 |   0
04  | 230 |  82 |   0
05  | 247 | 132 |  16
06  | 247 | 181 |   0
07  | 247 | 230 |  66
08  | 247 | 247 | 148
09  | 247 | 247 | 247
10  |  82 |   0 |   0
11  |  49 |   0 |   0
12  |  33 |  16 |   0
13  |  49 |  33 |  16
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 400D60_400D70:
Idx | R | G | B
00  |   0 |  99 | 181
01  |  33 |   0 |   0
02  |  66 |   0 |   0
03  | 132 |   0 |   0
04  | 197 |   0 |   0
05  | 247 |  16 |   0
06  | 247 |  99 |   0
07  | 115 |  82 |   0
08  | 197 | 148 |   0
09  | 247 | 247 |   0
10  |   0 | 132 | 115
11  |   0 | 181 | 165
12  |   0 | 247 | 247
13  | 197 | 247 | 247
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 400D80_400D90:
Idx | R | G | B
00  |   0 |  99 | 197
01  |  66 |   0 |  16
02  |  82 |  16 |  49
03  | 115 |  49 |  66
04  | 148 |  66 |  99
05  | 197 |  99 | 132
06  | 214 | 132 | 165
07  | 247 | 165 | 230
08  |   0 |   0 |   0
09  |   0 |   0 |   0
10  |   0 |   0 |   0
11  |   0 |   0 |   0
12  |   0 |   0 |   0
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 400DA0_400DB0:
Idx | R | G | B
00  |   0 |  99 | 214
01  |   0 |  33 |  16
02  |  16 |  49 |  33
03  |  33 |  82 |  49
04  |  66 | 115 |  82
05  |  99 | 165 | 148
06  | 115 | 197 | 230
07  |  49 |  66 |   0
08  | 115 | 132 |  16
09  | 165 | 148 |  33
10  | 197 | 197 |  66
11  |  66 |   0 |   0
12  | 132 |   0 |   0
13  | 214 |   0 |   0
14  | 247 |  66 |  33
15  |   0 |   0 |   0

Palette at 400DC0_400DD0:
Idx | R | G | B
00  |   0 |  99 | 230
01  | 132 |  16 |   0
02  | 197 |  33 |   0
03  | 230 |  66 |   0
04  |  82 |  82 |   0
05  | 148 | 148 |   0
06  | 197 | 197 |   0
07  | 181 |   0 | 181
08  | 247 |   0 | 247
09  |  99 |   0 |   0
10  | 148 | 148 | 148
11  | 197 | 197 | 197
12  | 247 | 247 | 247
13  | 247 | 115 |  16
14  | 247 | 197 | 115
15  |   0 |   0 |   0

Palette at 400DE0_400DF0:
Idx | R | G | B
00  |   0 |  99 | 247
01  |  99 |  49 |  16
02  | 148 |  99 |  33
03  | 214 | 165 |  82
04  |  66 |  66 |  66
05  | 148 | 148 | 148
06  | 247 | 247 | 247
07  |  33 |  33 |   0
08  |  66 |  99 |  16
09  |  99 | 132 |  33
10  | 132 | 181 |  33
11  |   0 |   0 | 115
12  |   0 |   0 | 247
13  |   0 |  99 | 247
14  | 247 | 230 | 165
15  |   0 |   0 |   0

Palette at 400E00_400E10:
Idx | R | G | B
00  |   0 | 115 |   0
01  |  99 |  99 |   0
02  | 165 | 165 |   0
